ABN,Charity_Name,Registration_Status,Address_Line_1,Address_Line_2,Town_City,State,Postcode,Municipality,Charity_Size,BRC,Main_Activity,Animal_Protection,Aged_Care_Activities,Civic_and_advocacy_activities,Culture_and_arts,Economic_social_and_community_development,Emergency_Relief,Employment_and_training,Environmental_activities,Grant_making_activities,Higher_education,Hospital_services_and_rehabilitation_activities,Housing_activities,Income_support_and_maintenance,International_activities,Law_and_legal_services,Mental_health_and_crisis_intervention,Primary_and_secondary_education,Religious_activities,Research,Social_services,Sports,Other_Education,Other_health_service_delivery,Other_recreation_and_social_club_activity,Other_philanthropic_intermediaries_and_voluntarism_promotion,Other_Activity,Other_activity_description,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operates_Overseas,Charity_activities_and_outcomes_helped_achieve_charity_purpose,General_Community_Australia,Females,Males,Early_Childhood_under_6,Children_6___under_15,Youth_15___under_25,Adults_25_to_under_65,Adults___65_and_over,ATSI,GLBTI,Migrants_Refugees_or_Asylum_Seekers,Other_charities,Other_beneficiaries_not_listed,Other_beneficiaries_description,Overseas_communities_or_charities,People_in_rural_regional_remote_communities,Families,Financially_disadvantaged_people,People_at_risk_of_homelessness,People_with_Chronic_or_Terminal_Illness,People_with_Disabilities,Pre_or_Post_Release_Offenders_and_Families,Unemployed_Persons,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Culturally_and_Linguistically_Diverse,Provided_support_services_funded_by_NDIS,Intend_provide_support_funded_by_NDIS,Staff_Full_time,Staff_Part_time,Staff_Casual,Staff_Volunteers,Government_grants,Donations_and_bequests,All_other_revenue,Total_revenue,Other_income,Total_gross_income,Employee_expenses,Interest_expenses,Grants_and_donations_made_for_use_in_Australia,Grants_and_donations_made_for_use_outside_Australia,All_other_expenses,Total_expenses,Net_surplus_deficit,Total_current_assets,Non_current_loans,Other_non_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Non_current_liabilities,Other_non_current_liabilities,Total_non_current_liabilities,Total_liabilities,Net_assets_liabilities,Other_Comprehensive_Income__if_applicable_,Total_Comprehensive_Income,DGR_Status,Website
25454812059,Crown Resorts Foundation Private Ancillary Fund,REG,Level 3 Crown Towers,8 Whiteman Street,Southbank,VIC,3006,Melbourne,Large,N,"Economic, social and community development",N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,,N,Y,N,Y,N,N,Y,Y,N,The Crown Resorts Foundation is committed to creating and supporting opportunities across the community that inspire positive change.  The commitment was achieved through a series of payments made to approved organisations.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,25,0,6976499,1896,6978395,0,6978395,0,0,6919903,0,0,6919903,58492,124448,0,0,0,124448,0,0,0,0,0,124448,0,58492,Y,
25492351844,Jubilee Housing Inc,REG,3 Ellingworth Pde,,Box Hill,VIC,3128,Whitehorse,Medium,N,Housing activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Jubilee Housing manages and maintains 40 units in the Eastern suburbs of Melbourne.   Each of these is rented to low income families or individuals who are eligible for public housing.  Rentals charged are based on the Office of Housing formula and are affordable for low income applicants.,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,,,0,2,0,20,0,6124,444722,450846,0,450846,86611,0,4218,0,293647,384476,66370,720134,0,0,3528092,4248226,51438,0,0,0,51438,4196788,0,66370,Y,
25624836416,Family Lanzer Charity Foundation,REG,30-32 Glenferrie Rd,,Malvern,VIC,3144,Stonnington,Small,N,Other education,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Donates to educational institutions,N,N,N,N,N,Y,Y,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,200000,18649,218649,0,218649,0,0,140000,0,647,140647,78002,0,0,0,0,1155730,0,0,0,0,0,1155730,0,0,Y,
25741608900,The Trustee For Royal Melbourne Hospital Neuroscience Foundation,REG,Ward 4 East Royal Melbourne Hospital,Grattan St,Parkville,VIC,3052,Melbourne,Large,N,Research,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"Funding clinical and investigator trials in neurosciences, and sponsoring medical education and medical research activities.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,13,31,3,20,0,1920785,4892387,6813172,0,6813172,2741921,0,1349502,0,1359374,5450797,1362375,6873747,0,0,0,6873747,2681543,0,0,0,2681543,4192204,0,1362375,Y,http://www.rslvic.com.au
25744885242,Rita Thompson Charitable Trust,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing document,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,71124,71124,0,71124,0,0,79661,0,13831,93492,-22368,0,0,0,0,1201689,0,0,0,0,0,1201689,0,-22368,N,http://www.annesgro.com
25812210249,The Trustee For Trude Weiss Foundation,REG,Lowe Lippmann,"Level 7 , 616 St Kilda Rd",Melbourne,VIC,3004,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Providing Grants,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,4,0,0,13509,13509,272,13781,0,0,29200,0,1844,31044,-17263,0,0,0,0,298589,0,0,0,0,0,298589,0,0,N,http://www.climateforchange.org.au
25866281724,Victorian Christian Science Nurses Support Trust,REG,15 Kerferd Road,,Glen Iris,VIC,3146,Stonnington,Small,N,Religious activities,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Funding Christian Science Nurses,N,N,N,N,N,N,Y,N,N,Providing funding for Christian Science Nurses who offer care for those who choose prayer to God for healing through Christian Science.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,5,0,670,170518,171188,0,171188,0,0,136396,0,11962,148358,22830,0,0,0,0,2536834,0,0,0,0,0,2536834,0,0,N,
25916223840,The Trustee For The Mullum Trust,REG,Deloitte Private,550 Bourke St,Melbourne,VIC,3000,Melbourne,Small,N,Environmental activities,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,Y,N,The main role of the charity is to protect the environment. We have achieved this goal by grants to many environmental action groups.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,5,0,0,0,0,105428,105428,0,0,151500,0,14028,165528,-60100,0,0,0,0,946508,0,0,0,0,0,946508,0,0,N,
25998522783,Williamstown Rsl Sub-branch Welfare Patriotic Fund No W439,REG,ANZAC House 4 Collins Street,,Melbourne,VIC,3000,Melbourne,Small,N,Social services,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,"AGED SERVICES, DISTRIBUTION OF MONEY OR GOODS FOR CHARITABLE PURPOSES, HEALTH RELATED PROGRAMS, SOCIAL & COMMUNITY WELFARE ACTIVITIES AND THE RELIEF, ASSISTANCE AND SUPPORT OF VETERANS AND/OR THEIR DEPENDANTS.",N,N,N,N,N,N,Y,N,N,"Aged Services, Distribution of money or goods for charitable purposes, Health Related programs,Social and community welfare activities and the relief, assistance or support of veterans and/or their dependants",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,5,0,1266,1253,2519,0,2519,0,0,18000,0,2058,20058,-17539,0,0,0,0,51617,0,0,0,0,715,50902,0,-17539,N,http://www.rslvic.com.au
26005864282,Norman Beischer Medical Research Foundation,REG,Level 1,459 Toorak Road,Toorak,VIC,3142,Stonnington,Large,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Paid grants for research regarding clinical and scientific medical research,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,1,0,0,0,78576,3388434,3467010,175811,3642821,147519,0,471939,0,174222,793680,2849141,11535397,0,36129705,36129705,47665102,321227,0,0,0,321227,47343875,0,2849141,Y,
